"","SRR14862052ReadsPerGene.out.tab","SRR14862053ReadsPerGene.out.tab","SRR14862054ReadsPerGene.out.tab","SRR14862055ReadsPerGene.out.tab","SRR14862056ReadsPerGene.out.tab","SRR14862057ReadsPerGene.out.tab","SRR14862058ReadsPerGene.out.tab","SRR14862059ReadsPerGene.out.tab","SRR14862060ReadsPerGene.out.tab"
"ENSG00000198793.13",2744,3319,3539,3273,3249,3127,3187,3140,3055
"ENSG00000225602.5",5,7,11,6,8,14,9,3,9
"ENSG00000253086.1",1,5,5,2,0,4,2,1,2
"ENSG00000171819.5",12,33,30,30,16,32,15,25,54
"ENSG00000207451.1",1,1,0,2,1,3,0,2,4
"ENSG00000238173.1",2,3,5,2,3,0,4,7,1
"ENSG00000120942.14",362,416,454,388,457,397,512,407,396
"ENSG00000238199.1",3,7,14,8,4,10,7,4,7
"ENSG00000284646.1",0,0,0,0,0,0,0,0,1
"ENSG00000224338.2",0,0,0,0,0,0,0,0,0
"ENSG00000204624.8",115,66,97,151,40,48,128,66,94
"ENSG00000285833.1",0,0,1,0,0,0,0,0,1
"ENSG00000235643.2",1,0,1,0,0,0,1,1,0
"ENSG00000284708.1",0,0,1,3,2,2,3,1,2
"ENSG00000116661.11",38,36,33,48,33,15,30,45,20
"ENSG00000132879.14",233,279,337,264,223,171,248,307,258
"ENSG00000116663.11",32,59,56,37,41,30,37,59,45
"ENSG00000116670.15",819,890,1005,956,734,596,1092,932,784
"ENSG00000162490.7",164,471,204,191,424,191,174,417,166
"ENSG00000177674.16",143,201,246,173,130,109,179,205,182
"ENSG00000215910.7",0,1,0,1,0,0,0,0,0
"ENSG00000177553.6",0,0,0,0,0,0,0,0,0
"ENSG00000177000.13",465,509,728,555,390,490,530,534,616
"ENSG00000011021.23",642,664,875,763,635,675,753,668,734
"ENSG00000276470.1",0,0,0,0,0,0,0,0,0
"ENSG00000278852.1",0,0,0,0,0,0,0,0,0
"ENSG00000175206.10",11,5,8,13,3,11,21,7,6
"ENSG00000275915.1",0,0,0,0,0,0,0,0,0
"ENSG00000120937.9",0,0,0,0,0,1,0,0,0
